file,question_id,option_id,rater_1.csv,rater_2.csv,rater_3.csv,model,majority,maj_agreement_with_model,disagreement,worst_case
Chci_spravedlnost_pro_dceru.txt,range,single_choice,5,5,5,3,5,False,1.0,--WORST-CASE
Chci_spravedlnost_pro_dceru.txt,genre,single_choice,report,other,report,report,report,True,0.3333333333333333,--WORST-CASE
Chci_spravedlnost_pro_dceru.txt,message-trigger,single_choice,public,public,security-forces,public,public,True,0.3333333333333333,--WORST-CASE
Chci_spravedlnost_pro_dceru.txt,place,czech-republic,True,True,True,True,True,True,0.0,False
Chci_spravedlnost_pro_dceru.txt,place,slovakia,False,False,False,False,False,True,0.0,True
Chci_spravedlnost_pro_dceru.txt,place,poland,False,False,False,False,False,True,0.0,True
Chci_spravedlnost_pro_dceru.txt,place,germany,False,False,False,False,False,True,0.0,True
Chci_spravedlnost_pro_dceru.txt,place,russia,True,False,False,False,False,True,0.3333333333333333,True
Chci_spravedlnost_pro_dceru.txt,place,ukraine,False,False,False,False,False,True,0.0,True
Chci_spravedlnost_pro_dceru.txt,place,other,False,False,False,False,False,True,0.0,True
Chci_spravedlnost_pro_dceru.txt,place,unknown,False,False,False,False,False,True,0.0,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,range,single_choice,3,3,3,3,3,True,0.0,--WORST-CASE
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,genre,single_choice,report,report,report,report,report,True,0.0,--WORST-CASE
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,message-trigger,single_choice,security-forces,other,security-forces,politician,security-forces,False,1.0,--WORST-CASE
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,czech-republic,False,False,False,False,False,True,0.0,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,slovakia,False,False,False,False,False,True,0.0,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,poland,True,False,True,False,True,False,0.6666666666666666,False
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,germany,False,False,False,False,False,True,0.0,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,russia,False,False,True,True,False,False,0.6666666666666666,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,ukraine,True,True,True,True,True,True,0.0,False
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,other,False,False,False,False,False,True,0.0,True
Rusko_použilo_hypersonickou_střelu_Zirkon.txt,place,unknown,False,False,False,False,False,True,0.0,True
Tvrdík_skončil_jako_viceprezident.txt,range,single_choice,4,4,4,3,4,False,1.0,--WORST-CASE
Tvrdík_skončil_jako_viceprezident.txt,genre,single_choice,report,report,report,report,report,True,0.0,--WORST-CASE
Tvrdík_skončil_jako_viceprezident.txt,message-trigger,single_choice,public,public,politician,politician,public,False,0.6666666666666666,--WORST-CASE
Tvrdík_skončil_jako_viceprezident.txt,place,czech-republic,True,True,True,True,True,True,0.0,False
Tvrdík_skončil_jako_viceprezident.txt,place,slovakia,False,False,False,False,False,True,0.0,True
Tvrdík_skončil_jako_viceprezident.txt,place,poland,False,True,False,False,False,True,0.3333333333333333,True
Tvrdík_skončil_jako_viceprezident.txt,place,germany,False,False,False,False,False,True,0.0,True
Tvrdík_skončil_jako_viceprezident.txt,place,russia,False,False,False,False,False,True,0.0,True
Tvrdík_skončil_jako_viceprezident.txt,place,ukraine,False,False,False,False,False,True,0.0,True
Tvrdík_skončil_jako_viceprezident.txt,place,other,False,False,True,False,False,True,0.3333333333333333,True
Tvrdík_skončil_jako_viceprezident.txt,place,unknown,False,False,False,False,False,True,0.0,True
