Zpracovatelské rutiny,,Hodnoty,Proměnná,Definice,Příklady,,
Zpravodajské hodnoty (multiple choice),,"Pokud je daná zpravodajská hodnota přítomná, zapište 1, pokud ne, zapište 0.","Zpravodajské hodnoty jsou kritéria, která novináři používají k hodnocení a výběru událostí, jež se stanou zpravodajskými příběhy (ne každá událost se stane zprávou, musí být něčím specifická - newsworthy, předpokládaně zajímavá, důležitá, relevantní). Pokud se článek o izraelsko-palestinském konfliktu zmiňuje třeba jen v jednom odstavci, zpravodajské hodnoty musejí být relevantní k tomuto odstavci, ne jen obecně (ie., pokud něco komentuje Biden a nijak se to nevztahuje ke sledovanému konfliktu, nekódujte jej jako přítomnou elitní osobu - pokud se ale Biden vyjadřuje třeba k podmínkám příměří, pak ano.",,,,
,1,1 = ano,Negativita (negativity),"Zpráva informuje o negativních jevech (konflikty, útoky, tragédie), zobrazuje negativní emoce (panika, strach, zoufalství), popisuje negativní či nepřátelské jednání (krutost, nespravedlnost, zákeřnost). Nebereme negativitu z kulturního hlediska, kdy bychom například zprávu o eliminaci Haníji kódovali jako pozitivní, ptz smrt teroristy, a vraždy způsobené Hamasem jako negativní, ptz teroristé a ""náš nepřítel"". Smrt je smrt a kódujeme vždy jako výraz negativity v textu.",Izraelská armáda zneškodnila desítky palestinských bojovníků na moři,"Svědectví z Gazy: Prázdné ulice, shromažďování zásob a čekání na nálety","Na ženy a děti nebudeme brát ohledy, burcují Palestinci"
,2,0 = ne,Blízkost (proximity),"Reportované události jsou zobrazeny jako geograficky nebo kulturně blízké (explicitní odkazy na společné hodnoty, historii, vzájemné porozumění či spolupráci, na relevanci zprávy pro Česko a Čechy). I dění ve státech bezprostředně sousedící s Českem (Rakousko, Německo, Polsko, Slovensko) kódujeme jako blízké, ve vzdálenějších ne.","V Izraeli je 200 Čechů, hlásí cestovky",Temné měsíce po Mnichovu. Vyhánění Čechoslováků i útěky židovského obyvatelstva,Lipavský navštívil Izrael
,3,,Elitní osoby (prominence),"Zpráva obsahuje stanoviska vrcholných politiků (českých i zahraničních), respektovaných mezinárodních organizací, popkulturních celebrit, expertů. Úředníky, policisty, členy městských zastupitelstev atp. nebereme jako elitní osoby; prezidenty, premiéry, ministry, velvyslance bereme jako elitní osoby. Musí jít o živé osoby, ne třeba státní útvary (Izrael řekl, že...)","Netanjahu nabídl opozici, aby s ním utvořila vládu národní jednoty",Hvězda seriálu Fauda Lior Raz bojuje proti Hamásu,"Musk si po boku Netanjahua prohlédl kibuc, kde vraždili teroristé z Hamásu"
,,,Personalizace (personalization),"Zpráva přibližuje osobní příběhy, svědectví, zkušenosti lidí zasažených nebo ovlivněných reportovanou událostí. Spíš než přes deklarace institucionalizovaných autorit událost prezentuje přes její prožívání lidmi (HLP).","Mámu vám zabil Hamás, dozvěděli se sourozenci po propuštění","Na festivalu měli Izraelci střelbu za hudební kulisu, v panice pak utíkali všemi směry",Lidé zapalují svíčky u izraelského velvyslanectví v Praze
,,,Dopad (impact),"Zpráva reflektuje důsledky událostí, ty jsou zobrazené významné, dalekosáhlé, mimořádné, extenzivní (týkající se či ovlivňující velký počet lidí) nebo intenzivní (emocionálně, psychologicky náročné pro personalizované aktéry). Může se vztahovat k jedincům (třeba surové zavraždění babičky a nahrání videa toto zaznamenávajícího na její fb profil), i ke skupinám. Nemusí jít nutně o mezinárodní politický a ekonomický dopad, ale i lidské tragédie (znovu izraelská babička).",Brazílie svolá kvůli útoku na Izrael mimořádné zasedání Rady bezpečnosti OSN,Izrael je ve válce,"Vůdce Hamásu potvrdil, že „od řeky k moři“ opravdu znamená zničení Izraele. Pochválil západní studenty"
Zdroje (single),,,Absence zdrojů a úhlů pohledu. Téma zprávy nezahrnuje zdroje.,,,,
,,,Jednostranné pokrytí. Zpráva obsahuje pouze jeden zdroj nebo pouze zdroje a pohledy z jedné strany.,,,,
,,,Přítomnost protikladných úhlů pohledu v příběhu. Zpráva obsahuje různé zdroje a úhly pohledu.,,,,
Message,,,,,,,
