file,rating,Jana revize trénovacích.csv,Robin revize trénovacích.csv,Veronica revize trénovacích.csv,majority,worst_case
2023-10-07T00-00-00_2023WN280011.txt,Vnitřní politické dění,True,True,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Mezinárodní politické reakce,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Vojenské operace Izraele,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Teroristické operace,True,False,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Dopad na izraelské civilisty,True,True,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Dopad na palestinské civilisty,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Humanitární pomoc,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Globální reakce veřejnosti,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Ekonomické důsledky,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Historie/kontextualizace,True,True,True,True,False
2023-10-07T00-00-00_2023WN280056.txt,Vnitřní politické dění,False,True,False,False,True
2023-10-07T00-00-00_2023WN280056.txt,Mezinárodní politické reakce,False,True,False,False,True
2023-10-07T00-00-00_2023WN280056.txt,Vojenské operace Izraele,False,False,False,False,True
2023-10-07T00-00-00_2023WN280056.txt,Teroristické operace,False,False,False,False,True
2023-10-07T00-00-00_2023WN280056.txt,Dopad na izraelské civilisty,False,False,False,False,True
2023-10-07T00-00-00_2023WN280056.txt,Dopad na palestinské civilisty,False,False,False,False,True
2023-10-07T00-00-00_2023WN280056.txt,Humanitární pomoc,False,False,False,False,True
2023-10-07T00-00-00_2023WN280056.txt,Globální reakce veřejnosti,False,False,False,False,True
2023-10-07T00-00-00_2023WN280056.txt,Ekonomické důsledky,False,False,False,False,True
2023-10-07T00-00-00_2023WN280056.txt,Historie/kontextualizace,True,True,True,True,False
2023-10-09T09-11-00_2023WN282037.txt,Vnitřní politické dění,False,True,False,False,True
2023-10-09T09-11-00_2023WN282037.txt,Mezinárodní politické reakce,False,False,False,False,True
2023-10-09T09-11-00_2023WN282037.txt,Vojenské operace Izraele,False,False,False,False,True
2023-10-09T09-11-00_2023WN282037.txt,Teroristické operace,True,True,True,True,False
2023-10-09T09-11-00_2023WN282037.txt,Dopad na izraelské civilisty,True,True,True,True,False
2023-10-09T09-11-00_2023WN282037.txt,Dopad na palestinské civilisty,False,False,False,False,True
2023-10-09T09-11-00_2023WN282037.txt,Humanitární pomoc,False,False,False,False,True
2023-10-09T09-11-00_2023WN282037.txt,Globální reakce veřejnosti,False,False,False,False,True
2023-10-09T09-11-00_2023WN282037.txt,Ekonomické důsledky,False,False,False,False,True
2023-10-09T09-11-00_2023WN282037.txt,Historie/kontextualizace,False,False,False,False,True
2023-10-09T12-53-00_2023WN282086.txt,Vnitřní politické dění,False,True,False,False,True
2023-10-09T12-53-00_2023WN282086.txt,Mezinárodní politické reakce,False,True,False,False,True
2023-10-09T12-53-00_2023WN282086.txt,Vojenské operace Izraele,False,False,False,False,True
2023-10-09T12-53-00_2023WN282086.txt,Teroristické operace,False,False,False,False,True
2023-10-09T12-53-00_2023WN282086.txt,Dopad na izraelské civilisty,False,True,False,False,True
2023-10-09T12-53-00_2023WN282086.txt,Dopad na palestinské civilisty,False,False,False,False,True
2023-10-09T12-53-00_2023WN282086.txt,Humanitární pomoc,False,False,False,False,True
2023-10-09T12-53-00_2023WN282086.txt,Globální reakce veřejnosti,False,False,False,False,True
2023-10-09T12-53-00_2023WN282086.txt,Ekonomické důsledky,True,True,True,True,False
2023-10-09T12-53-00_2023WN282086.txt,Historie/kontextualizace,False,False,False,False,True
2023-10-09T14-50-00_2023WN282113.txt,Vnitřní politické dění,False,True,False,False,True
2023-10-09T14-50-00_2023WN282113.txt,Mezinárodní politické reakce,True,True,True,True,False
2023-10-09T14-50-00_2023WN282113.txt,Vojenské operace Izraele,True,True,True,True,False
2023-10-09T14-50-00_2023WN282113.txt,Teroristické operace,True,True,True,True,False
2023-10-09T14-50-00_2023WN282113.txt,Dopad na izraelské civilisty,False,True,True,True,False
2023-10-09T14-50-00_2023WN282113.txt,Dopad na palestinské civilisty,False,True,False,False,True
2023-10-09T14-50-00_2023WN282113.txt,Humanitární pomoc,False,False,False,False,True
2023-10-09T14-50-00_2023WN282113.txt,Globální reakce veřejnosti,False,False,True,False,True
2023-10-09T14-50-00_2023WN282113.txt,Ekonomické důsledky,False,True,False,False,True
2023-10-09T14-50-00_2023WN282113.txt,Historie/kontextualizace,True,True,False,True,False
2023-10-09T16-46-00_2023WN282130.txt,Vnitřní politické dění,False,False,False,False,True
2023-10-09T16-46-00_2023WN282130.txt,Mezinárodní politické reakce,True,False,True,True,False
2023-10-09T16-46-00_2023WN282130.txt,Vojenské operace Izraele,False,False,False,False,True
2023-10-09T16-46-00_2023WN282130.txt,Teroristické operace,False,False,False,False,True
2023-10-09T16-46-00_2023WN282130.txt,Dopad na izraelské civilisty,False,False,False,False,True
2023-10-09T16-46-00_2023WN282130.txt,Dopad na palestinské civilisty,False,False,True,False,True
2023-10-09T16-46-00_2023WN282130.txt,Humanitární pomoc,False,False,False,False,True
2023-10-09T16-46-00_2023WN282130.txt,Globální reakce veřejnosti,True,True,True,True,False
2023-10-09T16-46-00_2023WN282130.txt,Ekonomické důsledky,False,False,False,False,True
2023-10-09T16-46-00_2023WN282130.txt,Historie/kontextualizace,False,False,False,False,True
2023-10-10T18-48-00_2023WN283308.txt,Vnitřní politické dění,True,True,False,True,False
2023-10-10T18-48-00_2023WN283308.txt,Mezinárodní politické reakce,False,False,False,False,True
2023-10-10T18-48-00_2023WN283308.txt,Vojenské operace Izraele,True,True,True,True,False
2023-10-10T18-48-00_2023WN283308.txt,Teroristické operace,False,False,False,False,True
