,Zpravodajské hodnoty (multiple),,,,,Témata článku,,,,,,,,,,Hlavní téma článku,Mediální rámce (multiple),,,,,,Mluvčí,,,,,,,,,,
,Negativita negativity,Blízkost proximity,Elitní osoby prominence,Personalizace personalization,Dopad impact,Vnitřní politické dění,Mezinárodní politické reakce,Vojenské operace Izraele,Teroristické operace,Dopad na izraelské civilisty,Dopad na palestinské civilisty,Humanitární pomoc,Globální reakce veřejnosti,Ekonomické důsledky,Historie/kontextualizace,1) Vnitřní politické dění; 2) Mezinárodní politické reakce; 3) Vojenské operace Izraele; 4) Teroristické operace; 5) Dílčí konflikty a střety; 6) Dopad na izraelské civilisty; 7) Dopad na palestinské civilisty; 8) Humanitární pomoc; 9) Globální reakce veřejnosti; 10) Ekonomické důsledky; 11) Historie/kontextualizace,Rámec konfliktu,Rámec budování míru,Humanitární rámec,Historicko-kulturní rámec,Geopolitický rámec,Lokální rámec,Političtí představitelé Izraele,Političtí představitelé Palestiny,Politici z blízkovýchodních zemí,Politici ze ostatních světových zemí,Představitelé mezinárodních a neziskových organizací,Vojenští představitelé Izraele,Členové teroristických skupin,Nezávislí experti a analytici,Média a novináři,Očití svědci a civilisté z Izraele,Očití svědci a civilisté z Palestiny
2023-10-07T00-00-00_2023WN280011.txt,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
2023-10-07T00-00-00_2023WN280056.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-09T09-11-00_2023WN282037.txt,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2023-10-09T12-53-00_2023WN282086.txt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
2023-10-09T14-50-00_2023WN282113.txt,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2023-10-09T16-46-00_2023WN282130.txt,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2023-10-10T18-48-00_2023WN283308.txt,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2023-10-10T18-51-00_2023WN283162.txt,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,9,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2023-10-10T21-42-00_2023WN283183.txt,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2023-10-11T09-07-00_2023WN284024.txt,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-10-12T12-23-00_2023WN285197.txt,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0
2023-10-12T13-54-00_2023WN285106.txt,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
2023-10-12T16-14-00_2023WN285137.txt,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,4,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
2023-10-13T06-36-00_2023WN286013.txt,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
2023-10-15T14-52-00_2023WN288050.txt,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
