file,question_id,rating,Robin revize trénovacích.csv,Veronica revize trénovacích.csv,model,majority,maj_agreement_with_model,worst_case
2023-10-19T10-57-00_2023WN292057.txt,Hlavní téma článku,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,Vojenské operace Izraele,Globální reakce veřejnosti,False,--WORST-CASE
2023-10-19T10-57-00_2023WN292057.txt,Mediální rámce (multiple),Geopolitický rámec,True,True,False,True,False,False
2023-10-19T10-57-00_2023WN292057.txt,Mediální rámce (multiple),Historicko-kulturní rámec,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Mediální rámce (multiple),Humanitární rámec,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Mediální rámce (multiple),Lokální rámec,False,False,True,False,False,True
2023-10-19T10-57-00_2023WN292057.txt,Mediální rámce (multiple),Rámec budování míru,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Mediální rámce (multiple),Rámec konfliktu,False,True,True,False,False,True
2023-10-19T10-57-00_2023WN292057.txt,Mluvčí,Média a novináři,True,True,True,True,True,False
2023-10-19T10-57-00_2023WN292057.txt,Mluvčí,Nezávislí experti a analytici,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Mluvčí,Očití svědci a civilisté z Izraele,False,False,True,False,False,True
2023-10-19T10-57-00_2023WN292057.txt,Mluvčí,Očití svědci a civilisté z Palestiny,False,False,True,False,False,True
2023-10-19T10-57-00_2023WN292057.txt,Mluvčí,Politici z blízkovýchodních zemí,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Mluvčí,Politici ze ostatních světových zemí,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Mluvčí,Političtí představitelé Izraele,True,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Mluvčí,Političtí představitelé Palestiny,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Mluvčí,Představitelé mezinárodních a neziskových organizací,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Mluvčí,Vojenští představitelé Izraele,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Mluvčí,Členové teroristických skupin,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Témata článku,Dopad na izraelské civilisty,False,False,True,False,False,True
2023-10-19T10-57-00_2023WN292057.txt,Témata článku,Dopad na palestinské civilisty,False,True,True,False,False,True
2023-10-19T10-57-00_2023WN292057.txt,Témata článku,Ekonomické důsledky,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Témata článku,Globální reakce veřejnosti,True,True,True,True,True,False
2023-10-19T10-57-00_2023WN292057.txt,Témata článku,Historie/kontextualizace,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Témata článku,Humanitární pomoc,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Témata článku,Mezinárodní politické reakce,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Témata článku,Teroristické operace,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Témata článku,Vnitřní politické dění,False,False,False,False,True,True
2023-10-19T10-57-00_2023WN292057.txt,Témata článku,Vojenské operace Izraele,False,True,True,False,False,True
2023-10-19T10-57-00_2023WN292057.txt,Zpravodajské hodnoty (multiple),Blízkost proximity,True,True,True,True,True,False
2023-10-19T10-57-00_2023WN292057.txt,Zpravodajské hodnoty (multiple),Dopad impact,True,True,False,True,False,False
2023-10-19T10-57-00_2023WN292057.txt,Zpravodajské hodnoty (multiple),Elitní osoby prominence,False,False,True,False,False,True
2023-10-19T10-57-00_2023WN292057.txt,Zpravodajské hodnoty (multiple),Negativita negativity,True,True,True,True,True,False
2023-10-19T10-57-00_2023WN292057.txt,Zpravodajské hodnoty (multiple),Personalizace personalization,False,False,False,False,True,True
