question,option,irr
Mediální rámce (multiple),Geopolitický rámec,0.632
Mediální rámce (multiple),Historicko-kulturní rámec,0.33114
Mediální rámce (multiple),Humanitární rámec,0.38735
Mediální rámce (multiple),Lokální rámec,0.24786
Mediální rámce (multiple),Rámec budování míru,0.64402
Mediální rámce (multiple),Rámec konfliktu,0.51189
Mluvčí,Média a novináři,0.61992
Mluvčí,Nezávislí experti a analytici,0.7279
Mluvčí,Očití svědci a civilisté z Izraele,0.77857
Mluvčí,Očití svědci a civilisté z Palestiny,-0.01639
Mluvčí,Politici z blízkovýchodních zemí,0.71038
Mluvčí,Politici ze ostatních světových zemí,0.694
Mluvčí,Političtí představitelé Izraele,0.44005
Mluvčí,Političtí představitelé Palestiny,0.47518
Mluvčí,Představitelé mezinárodních a neziskových organizací,0.53604
Mluvčí,Vojenští představitelé Izraele,0.65103
Mluvčí,Členové teroristických skupin,0.72444
Témata článku,Dopad na izraelské civilisty,0.36955
Témata článku,Dopad na palestinské civilisty,0.50958
Témata článku,Ekonomické důsledky,0.63303
Témata článku,Globální reakce veřejnosti,0.68622
Témata článku,Historie/kontextualizace,0.45018
Témata článku,Humanitární pomoc,0.64013
Témata článku,Mezinárodní politické reakce,0.5506
Témata článku,Teroristické operace,0.44695
Témata článku,Vnitřní politické dění,0.37374
Témata článku,Vojenské operace Izraele,0.52723
Zpravodajské hodnoty (multiple),Blízkost proximity,0.74433
Zpravodajské hodnoty (multiple),Dopad impact,0.09449
Zpravodajské hodnoty (multiple),Elitní osoby prominence,0.48701
Zpravodajské hodnoty (multiple),Negativita negativity,0.62848
Zpravodajské hodnoty (multiple),Personalizace personalization,0.43514
