file,prompt_key,rating,coding FSS - Jana.csv,coding FSS - Robin.csv,coding FSS - Veronica.csv,majority,worst_case
2023-10-07T00-00-00_2023WN280011.txt,Zpravodajské hodnoty (multiple),Negativita negativity,True,True,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Zpravodajské hodnoty (multiple),Blízkost proximity,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Zpravodajské hodnoty (multiple),Elitní osoby prominence,True,False,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Zpravodajské hodnoty (multiple),Personalizace personalization,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Zpravodajské hodnoty (multiple),Dopad impact,True,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Témata článku,Vnitřní politické dění,True,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Témata článku,Mezinárodní politické reakce,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Témata článku,Vojenské operace Izraele,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Témata článku,Teroristické operace,True,False,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Témata článku,Dílčí konflikty a střety,True,True,False,True,False
2023-10-07T00-00-00_2023WN280011.txt,Témata článku,Dopad na izraelské civilisty,True,True,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Témata článku,Dopad na palestinské civilisty,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Témata článku,Humanitární pomoc,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Témata článku,Globální reakce veřejnosti,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Témata článku,Ekonomické důsledky,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Témata článku,Historie/kontextualizace,True,False,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Hlavní téma článku,single_choice,Teroristické operace,Dílčí konflikty a střety,Teroristické operace,Teroristické operace,--WORST-CASE
2023-10-07T00-00-00_2023WN280011.txt,Mediální rámce (multiple),Rámec konfliktu,True,True,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Mediální rámce (multiple),Rámec budování míru,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mediální rámce (multiple),Humanitární rámec,True,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mediální rámce (multiple),Historicko-kulturní rámec,False,True,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mediální rámce (multiple),Geopolitický rámec,False,True,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mediální rámce (multiple),Lokální rámec,True,False,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Političtí představitelé Izraele,False,True,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Političtí představitelé Palestiny,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Politici z blízkovýchodních zemí,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Politici ze ostatních světových zemí,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Představitelé mezinárodních a neziskových organizací,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Vojenští představitelé Izraele,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Členové teroristických skupin,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Nezávislí experti a analytici,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Média a novináři,True,True,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Očití svědci a civilisté z Izraele,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Očití svědci a civilisté z Palestiny,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Mluvčí,Jiní,False,False,False,False,True
