file,rating,coding FSS - Copy of vyhodnocení Jana.csv,coding FSS - Copy of vyhodnocení Robin.csv,coding FSS - Copy of vyhodnocení Veronica.csv,majority,worst_case
2023-10-07T00-00-00_2023WN280011.txt,single_choice,Teroristické operace,Dílčí konflikty a střety,Teroristické operace,Teroristické operace,--WORST-CASE
2023-10-07T00-00-00_2023WN280056.txt,single_choice,Historie/kontextualizace,Historie/kontextualizace,Historie/kontextualizace,Historie/kontextualizace,--WORST-CASE
2023-10-09T09-11-00_2023WN282037.txt,single_choice,Dopad na izraelské civilisty,Teroristické operace,Teroristické operace,Teroristické operace,--WORST-CASE
2023-10-09T12-53-00_2023WN282086.txt,single_choice,Ekonomické důsledky,Ekonomické důsledky,Ekonomické důsledky,Ekonomické důsledky,--WORST-CASE
2023-10-09T14-50-00_2023WN282113.txt,single_choice,Historie/kontextualizace,Mezinárodní politické reakce,Mezinárodní politické reakce,Mezinárodní politické reakce,--WORST-CASE
2023-10-09T16-46-00_2023WN282130.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,Globální reakce veřejnosti,Globální reakce veřejnosti,--WORST-CASE
2023-10-10T18-48-00_2023WN283308.txt,single_choice,Vojenské operace Izraele,Vojenské operace Izraele,Vojenské operace Izraele,Vojenské operace Izraele,--WORST-CASE
2023-10-10T18-51-00_2023WN283162.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,Globální reakce veřejnosti,Globální reakce veřejnosti,--WORST-CASE
2023-10-10T21-42-00_2023WN283183.txt,single_choice,Dopad na izraelské civilisty,Teroristické operace,Teroristické operace,Teroristické operace,--WORST-CASE
2023-10-11T09-07-00_2023WN284024.txt,single_choice,Ekonomické důsledky,Ekonomické důsledky,Ekonomické důsledky,Ekonomické důsledky,--WORST-CASE
2023-10-12T12-23-00_2023WN285197.txt,single_choice,Vnitřní politické dění,Vnitřní politické dění,Vnitřní politické dění,Vnitřní politické dění,--WORST-CASE
2023-10-12T13-54-00_2023WN285106.txt,single_choice,Vnitřní politické dění,Vnitřní politické dění,Vnitřní politické dění,Vnitřní politické dění,--WORST-CASE
2023-10-12T16-14-00_2023WN285137.txt,single_choice,Vojenské operace Izraele,Mezinárodní politické reakce,Teroristické operace,Mezinárodní politické reakce,--WORST-CASE
2023-10-13T06-36-00_2023WN286013.txt,single_choice,Humanitární pomoc,Mezinárodní politické reakce,Humanitární pomoc,Humanitární pomoc,--WORST-CASE
2023-10-15T14-52-00_2023WN288050.txt,single_choice,Ekonomické důsledky,Ekonomické důsledky,Ekonomické důsledky,Ekonomické důsledky,--WORST-CASE
2023-10-15T20-07-00_2023WN288080.txt,single_choice,Humanitární pomoc,Vojenské operace Izraele,Humanitární pomoc,Humanitární pomoc,--WORST-CASE
2023-10-16T10-36-00_2023WN289052.txt,single_choice,Humanitární pomoc,Vojenské operace Izraele,Vojenské operace Izraele,Vojenské operace Izraele,--WORST-CASE
2023-10-16T15-13-00_2023WN289115.txt,single_choice,Historie/kontextualizace,Globální reakce veřejnosti,Historie/kontextualizace,Historie/kontextualizace,--WORST-CASE
2023-10-18T13-55-00_2023WN291081.txt,single_choice,Teroristické operace,Dopad na izraelské civilisty,Dopad na izraelské civilisty,Dopad na izraelské civilisty,--WORST-CASE
2023-10-18T18-43-00_2023WN291136.txt,single_choice,Teroristické operace,Dílčí konflikty a střety,Dílčí konflikty a střety,Dílčí konflikty a střety,--WORST-CASE
2023-10-19T10-57-00_2023WN292057.txt,single_choice,Globální reakce veřejnosti,Globální reakce veřejnosti,Globální reakce veřejnosti,Globální reakce veřejnosti,--WORST-CASE
2023-10-19T15-13-00_2023WN292147.txt,single_choice,Ekonomické důsledky,Globální reakce veřejnosti,,Ekonomické důsledky,--WORST-CASE
