file,rating,coding FSS - Copy of vyhodnocení Jana.csv,coding FSS - Copy of vyhodnocení Robin.csv,coding FSS - Copy of vyhodnocení Veronica.csv,majority,worst_case
2023-10-07T00-00-00_2023WN280011.txt,Blízkost proximity,False,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Dopad impact,True,False,False,False,True
2023-10-07T00-00-00_2023WN280011.txt,Elitní osoby prominence,True,False,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Negativita negativity,True,True,True,True,False
2023-10-07T00-00-00_2023WN280011.txt,Personalizace personalization,False,False,False,False,True
2023-10-07T00-00-00_2023WN280056.txt,Blízkost proximity,True,True,True,True,False
2023-10-07T00-00-00_2023WN280056.txt,Dopad impact,True,False,True,True,False
2023-10-07T00-00-00_2023WN280056.txt,Elitní osoby prominence,False,True,True,True,False
2023-10-07T00-00-00_2023WN280056.txt,Negativita negativity,False,True,True,True,False
2023-10-07T00-00-00_2023WN280056.txt,Personalizace personalization,True,False,True,True,False
2023-10-09T09-11-00_2023WN282037.txt,Blízkost proximity,False,False,False,False,True
2023-10-09T09-11-00_2023WN282037.txt,Dopad impact,True,True,True,True,False
2023-10-09T09-11-00_2023WN282037.txt,Elitní osoby prominence,False,False,False,False,True
2023-10-09T09-11-00_2023WN282037.txt,Negativita negativity,True,True,True,True,False
2023-10-09T09-11-00_2023WN282037.txt,Personalizace personalization,True,True,True,True,False
2023-10-09T12-53-00_2023WN282086.txt,Blízkost proximity,False,False,False,False,True
2023-10-09T12-53-00_2023WN282086.txt,Dopad impact,True,True,False,True,False
2023-10-09T12-53-00_2023WN282086.txt,Elitní osoby prominence,False,True,True,True,False
2023-10-09T12-53-00_2023WN282086.txt,Negativita negativity,False,False,False,False,True
2023-10-09T12-53-00_2023WN282086.txt,Personalizace personalization,False,False,False,False,True
2023-10-09T14-50-00_2023WN282113.txt,Blízkost proximity,False,False,False,False,True
2023-10-09T14-50-00_2023WN282113.txt,Dopad impact,True,True,False,True,False
2023-10-09T14-50-00_2023WN282113.txt,Elitní osoby prominence,True,True,True,True,False
2023-10-09T14-50-00_2023WN282113.txt,Negativita negativity,False,True,False,False,True
