1,Zpracovatelské rutiny,,Hodnoty,Proměnná,Definice,Příklady,,,,
,Zpravodajské hodnoty (multiple),1,1 = ano,Negativita (negativity,"Zdůrazňují se negativní jevy (konflikty, útoky, tragédie), negativní emoce (panika, strach, zoufalství), negativní jednání (krutost).",Válka v Izraeli: Speciální vysílání studia Novinek,Izraelská armáda zneškodnila desítky palestinských bojovníků na moři,"Svědectví z Gazy: Prázdné ulice, shromažďování zásob a čekání na nálety","Na ženy a děti nebudeme brát ohledy, burcují Palestinci","Na festivalu měli Izraelci střelbu za hudební kulisu, v panice pak utíkali všemi směry"
,,2,0 = ne,Blízkost (proximity),"Reportované události jsou zobrazeny jako geograficky nebo kulturně blízké (explicitní odkazy na společné hodnoty, na relevanci zprávy pro Česko a Čechy; čeští politici vyjadřující se k situaci).","V Izraeli je 200 Čechů, hlásí cestovky",Temné měsíce po Mnichovu. Vyhánění Čechoslováků i útěky židovského obyvatelstva,Lipavský navštívil Izrael,,
,,3,,Elitní osoby (prominence),"Zpráva obsahuje stanoviska vrcholných politiků, mezinárodních organizací, celebrit - lidí a organizací vnímaných jako autority","Netanjahu nabídl opozici, aby s ním utvořila vládu národní jednoty",Hvězda seriálu Fauda Lior Raz bojuje proti Hamásu,,,
,,,,Personalizace (personalization),"Zpráva přibližuje osobní příběhy ""obyčejných"" lidí (HLP)","Svědectví z Gazy: Prázdné ulice, shromažďování zásob a čekání na nálety","Na ženy a děti nebudeme brát ohledy, burcují Palestinci","Na festivalu měli Izraelci střelbu za hudební kulisu, v panice pak utíkali všemi směry",Lidé zapalují svíčky u izraelského velvyslanectví v Praze,
,,,,Dopad (impact),"Zpráva reflektuje důsledky událostí, ty jsou zobrazené jaké globální spíš než lokální, značné, dalekosáhlé, mimořádné, týkající se či ovlivňující velký počet lidí.",Brazílie svolá kvůli útoku na Izrael mimořádné zasedání Rady bezpečnosti OSN,Izrael je ve válce,,,
,Zdroje (single),,,Absence zdrojů a úhlů pohledu. Téma zprávy nezahrnuje zdroje.,,,,,,
,,,,Jednostranné pokrytí. Zpráva obsahuje pouze jeden zdroj nebo pouze zdroje a pohledy z jedné strany.,,,,,,
,,,,Přítomnost protikladných úhlů pohledu v příběhu. Zpráva obsahuje různé zdroje a úhly pohledu.,,,,,,
2,Message,,,,,,,,,
,Hlavní téma článku (single),Kód,,"Zvolte hlavní téma článku. Podle modelu obracené pyramidy by hlavní téma mělo být obsaženo už v titulku a leadu, měla by k němu odkazovat většina výroků v textu. U každé zprávy lze určit jen jedno hlavní téma.",,,,,,
,,,1,Vnitřní politické dění,"Zpráva informuje o politickém vývoji v Izraeli nebo v Gaze, prohlášeních tamějích politiků, jejich návrhů na řešení konfliktu nebo reakcích na zahraniční diplomatické úsilí. Patří sem i zprávy o výměnách rukojmí.","Netanjahu nabídl opozici, aby s ním utvořila vládu národní jednoty",,,,
,,1,2,Mezinárodní politické reakce,"Zpráva informuje o mezinárodních reakcích na konflikt ze strany vrcholných politiků, mezinárodních organizací jako UN, o diplomatických iniciativách, jednáních, snahách o zprostředkování příměří.",Brazílie svolá kvůli útoku na Izrael mimořádné zasedání Rady bezpečnosti OSN,,,,
,,11,3,Vojenské operace Izraele,"Zpráva popisuje izraelské vojenské operace, jejich provedení, ale i plánování a taktizování.",Izraelská armáda zneškodnila desítky palestinských bojovníků na moři,,,,
,,,4,Teroristické operace,"Zpráva se soustředí na útoky palestinských frakcí jako Hamas, Hizballáh a dalších ozbrojených skupin, které jsou označeny jako teroristické (útoky Hútiů/Húsiů).",Nový pozemní útok. Palestinští radikálové pronikli do oblasti Eškolu,,,,
,,12,5,Dílčí konflikty a střety,"Zpráva informuje o dílčích konfliktech a nevraživostech, o izolovaných případech násilí, jako jsou útoky osadníků nebo střelba na kontrolních stanovištích.",Policista zastřelil dva izraelské turisty v Egyptě. Zemřel i jeden Egypťan,,,,
,,,6,Dopad na civilisty a humanitární krize,"Zpráva popisuje dopady konfliktu na civilisty, soustředí se na civilní oběti, vysídlení, dění v uprchlických táborech a příběhy Palestinců nebo Izraelců přímo zasažených konfliktem.","Na ženy a děti nebudeme brát ohledy, burcují Palestinci","Na festivalu měli Izraelci střelbu za hudební kulisu, v panice pak utíkali všemi směry",,,
