file,prompt_key,rating,rater_0.csv,rater_1.csv,rater_2.csv,model,majority,maj_agreement_with_model,worst_case
1.1._Zelení_chtějí_hlavu_Čunka.txt,citace_a_parafraze,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,dopad,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,emoce,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,fakta_a_nazory,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,funkce,single_choice,kontextuální informace,kontextuální informace,kontextuální informace,aktuálních fakta a události,kontextuální informace,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,hard_news,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,informace,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,konflikt,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,kontext,single_choice,Ne,Ano,Ne,Ano,Ne,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,lokalni_dopad,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,morbidnost,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,negativni_vyzneni,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,nekompetence,single_choice,Ne,Ne,Ano,Ano,Ne,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,odborny_zdroj,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,odstavce,single_choice,19,19,19,1,19,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,personalizace,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,podpora,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,politicka_zprava,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,pozadavky,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,problemy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,protichudna_hlediska,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,pyramida,single_choice,Ano,Ano,Ano,Ne,Ano,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,rady,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,reakce,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,senzacnost,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,skandal,single_choice,Ne,Ano,Ne,Ano,Ne,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,soukromy_ramec,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,soukromy_zivot,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,strategicke,single_choice,Ano,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,validace,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,vecne,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,vyvazenost,single_choice,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,vzdelavani,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,dopad,single_choice,Ne,Ne,Ne,Ano,Ne,False,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,emoce,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,hard_news,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,informace,single_choice,Ne,Ne,Ano,Ne,Ne,True,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,kontext,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,lokalni_dopad,single_choice,Ne,Ano,Ne,Ano,Ne,False,--WORST-CASE
