file,question_id,rating,rater_0.csv,rater_1.csv,rater_2.csv,model,majority,maj_agreement_with_model,worst_case
1.1._Zelení_chtějí_hlavu_Čunka.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,odborny_zdroj,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,odstavce,single_choice,19,19,19,4,19,False,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,politicka_zprava,single_choice,Ano,Ano,Ano,Ano,Ano,True,--WORST-CASE
1.1._Zelení_chtějí_hlavu_Čunka.txt,vyvazenost,single_choice,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,různé úhly pohledu,True,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,odstavce,single_choice,2,2,2,1,2,False,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.100._Vyšší_mzdy_ve_Škodě_ohrozí_její_rozvoj.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.100._Vyšší_mzdy_ve_Škodě_ohrozí_její_rozvoj.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
1.100._Vyšší_mzdy_ve_Škodě_ohrozí_její_rozvoj.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.100._Vyšší_mzdy_ve_Škodě_ohrozí_její_rozvoj.txt,odstavce,single_choice,9,9,9,8,9,False,--WORST-CASE
1.100._Vyšší_mzdy_ve_Škodě_ohrozí_její_rozvoj.txt,politicka_zprava,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.101._Unimex_Group_loni_vydělal_téměř_miliardu.txt,kriterium,single_choice,krátký,krátký,krátký,vyhovující,krátký,False,--WORST-CASE
1.11._Dva_muži_napadli_policejní_hlídku.txt,kriterium,single_choice,krátký,krátký,krátký,vyhovující,krátký,False,--WORST-CASE
1.12._Zneužila_Transparency_International_dotaci?.txt,kriterium,single_choice,krátký,krátký,krátký,vyhovující,krátký,False,--WORST-CASE
1.13._Takto_žáky_zkoušet_nechceme.txt,kriterium,single_choice,nezpravodajský,nezpravodajský,nezpravodajský,vyhovující,nezpravodajský,False,--WORST-CASE
1.14._Velikonoce_budou_slunečné.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.14._Velikonoce_budou_slunečné.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,nezpravodajský,vyhovující,False,--WORST-CASE
1.14._Velikonoce_budou_slunečné.txt,obtezujici_okolnosti,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.14._Velikonoce_budou_slunečné.txt,odstavce,single_choice,13,13,13,8,13,False,--WORST-CASE
1.15._Tunel_v_Praze_pod_Letnou_se_může_začít_stavět.txt,dotazy,single_choice,Ne,Ne,Ne,Ne,Ne,True,--WORST-CASE
1.15._Tunel_v_Praze_pod_Letnou_se_může_začít_stavět.txt,kriterium,single_choice,vyhovující,vyhovující,vyhovující,vyhovující,vyhovující,True,--WORST-CASE
