file,rating,rater_0.csv,rater_1.csv,rater_2.csv,majority,worst_case
1.1._Zelení_chtějí_hlavu_Čunka.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.15._Tunel_v_Praze_pod_Letnou_se_může_začít_stavět.txt,single_choice,Ne,Ano,,Ano,--WORST-CASE
1.24._Schwarzenberg_k_odsunu:_bylo_to_vyhnání.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.25._Zelení_už_mají_Čunka_dost.txt,single_choice,Ne,Ano,Ne,Ne,--WORST-CASE
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.28._ODS_podpořila_Klause_na_Hrad.txt,single_choice,Ne,Ano,Ano,Ano,--WORST-CASE
1.34._Policejní_prezident_by_mohl_mít_časově_omezené_funkční_období.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.35._ČSSD_viní_Langra_z_ovlivňování_kauzy_Kubice.txt,single_choice,Ano,Ano,Ano,Ano,--WORST-CASE
1.36._Transparency_Int._prý_nevrátila_část_půjčky.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.37._Když_poslanci_neumějí_cizí_jazyky_stojí_to_milióny_korun.txt,single_choice,Ne,Ne,,Ne,--WORST-CASE
1.42._Dětské_oběti_vypovídají_ve_speciální_místnosti.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.43._Hrady_a_zámky_otevřely_brány_návštěvníkům.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.49._Pacienti_mají_znát_vše_důležité.txt,single_choice,Ne,Ne,,Ne,--WORST-CASE
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,single_choice,Ne,Ano,Ne,Ne,--WORST-CASE
1.54._Topolánek_už_s_vulgarismy_narazil_i_u_manželky_Pavly.txt,single_choice,Ne,Ano,,Ano,--WORST-CASE
1.56._Češi_a_Němci_o_nacionalismu_a_strachu.txt,single_choice,Ne,Ne,,Ne,--WORST-CASE
1.58._Buď_Čunek_nebo_my_navrhovala_část_zelených.txt,single_choice,Ano,Ne,Ano,Ano,--WORST-CASE
1.59._Zákoník_práce_dopadl_i_na_hrady.txt,single_choice,Ne,Ne,,Ne,--WORST-CASE
1.6._Květinko_hýčkal_Zeman_Volfovou.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.61._Hrady_musí_mít_dvojnásobek_průvodců.txt,single_choice,Ne,Ne,,Ne,--WORST-CASE
1.62._Policejní_šéf_by_měl_být_ve_funkci_jen_několik_let.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.64._Křehká_květinka_má_stranu.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.69._Hvězda_dříve_patřila_rejdařům.txt,single_choice,Ne,Ne,,Ne,--WORST-CASE
1.70._Jak_na_radikály?_S_kapesní_brožurou.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.71._Zelení_chtějí_aby_Jiří_Čunek_odešel_z_vlády.txt,single_choice,Ne,Ne,Ano,Ne,--WORST-CASE
1.72._O_nájem_olomouckých_nemocnic_bude_boj.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.78._Ministerstvo_zemědělství_změnilo_vedení_fondu.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.79._Volfová_neuspěla_známé_tváře_nepřišly.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.81._Zahraniční_dluh_Česka_stoupl_na_122_bilionu_korun.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.83._Za_které_léky_se_neplatí_lze_zjistit_na_internetu.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.88._Strany_stále_víc_závisejí_na_státní_pokladně.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.90._Národní_fotbalový_stadion?_Verdikt_se_odkládá.txt,single_choice,Ne,,,Ne,--WORST-CASE
1.93._Sociolog:_Čunek_vyvolává_rasové_démony.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
