file,rating,rater_0.csv,rater_1.csv,rater_2.csv,majority,worst_case
1.1._Zelení_chtějí_hlavu_Čunka.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.10._Hokejka_z_Nagana_pomohla_dětem.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.100._Vyšší_mzdy_ve_Škodě_ohrozí_její_rozvoj.txt,single_choice,Ne,Ne,Ano,Ne,--WORST-CASE
1.14._Velikonoce_budou_slunečné.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.15._Tunel_v_Praze_pod_Letnou_se_může_začít_stavět.txt,single_choice,Ne,Ano,Ano,Ano,--WORST-CASE
1.2._Kamery_viděly_do_soukromí._Soud_to_potrestal.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.20._Heslem_Nic_než_národ_„bojují“_za_životní_prostředí.txt,single_choice,Ano,Ne,Ne,Ne,--WORST-CASE
1.21._Jak_„naučit“_děti_číst.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.24._Schwarzenberg_k_odsunu:_bylo_to_vyhnání.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.25._Zelení_už_mají_Čunka_dost.txt,single_choice,Ano,Ne,Ano,Ano,--WORST-CASE
1.26._Zeman_byl_u_zrodu_nové_strany_Jany_Volfové.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.28._ODS_podpořila_Klause_na_Hrad.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.29._Dnes_je_poslední_den_na_přiznání_a_zaplacení_daně.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.3._Test_MF_DNES:_Přijímačky_jsou_těžké_i_pro_dospělé.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.30._Spadl_ze_skály.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.31._Akcie_ČEZ_jsou_opět_nad_940_Kč.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.34._Policejní_prezident_by_mohl_mít_časově_omezené_funkční_období.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.35._ČSSD_viní_Langra_z_ovlivňování_kauzy_Kubice.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.36._Transparency_Int._prý_nevrátila_část_půjčky.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.37._Když_poslanci_neumějí_cizí_jazyky_stojí_to_milióny_korun.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.39._Rodiče_osmiměsíční_dívky_čelí_obvinění_z_týrání.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.4._Sledují_každý_náš_krok.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.42._Dětské_oběti_vypovídají_ve_speciální_místnosti.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.43._Hrady_a_zámky_otevřely_brány_návštěvníkům.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.45._Špatná_strava_a_málo_pohybu_zvyšuje_riziko_infarktu_33krát.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.47._Opilci_napadali_policisty.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.48._Dceru_matce_vrátil_až_za_policejní_asistence.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.49._Pacienti_mají_znát_vše_důležité.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.5._Vedení_ODS:_Zvolte_Klause_opět_prezidentem.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
1.51._Sklepy_se_změnily_v_turistické_korzo.txt,single_choice,Ne,Ne,Ne,Ne,--WORST-CASE
