rater,codebook,individual_questions,zpravodajske_hodnoty-negativita_majority_mean,zpravodajske_hodnoty-negativita_majority_ci_low,zpravodajske_hodnoty-negativita_majority_ci_high,zpravodajske_hodnoty-blizkost_majority_mean,zpravodajske_hodnoty-blizkost_majority_ci_low,zpravodajske_hodnoty-blizkost_majority_ci_high,zpravodajske_hodnoty-eliti_osoby_majority_mean,zpravodajske_hodnoty-eliti_osoby_majority_ci_low,zpravodajske_hodnoty-eliti_osoby_majority_ci_high,zpravodajske_hodnoty-personalizace_majority_mean,zpravodajske_hodnoty-personalizace_majority_ci_low,zpravodajske_hodnoty-personalizace_majority_ci_high,zpravodajske_hodnoty-dopad_majority_mean,zpravodajske_hodnoty-dopad_majority_ci_low,zpravodajske_hodnoty-dopad_majority_ci_high,temata_clanku-vnitrni_politicke_deni_majority_mean,temata_clanku-vnitrni_politicke_deni_majority_ci_low,temata_clanku-vnitrni_politicke_deni_majority_ci_high,temata_clanku-mezinarodni_politicke_reakce_majority_mean,temata_clanku-mezinarodni_politicke_reakce_majority_ci_low,temata_clanku-mezinarodni_politicke_reakce_majority_ci_high,temata_clanku-vojenske_operace_izraele_majority_mean,temata_clanku-vojenske_operace_izraele_majority_ci_low,temata_clanku-vojenske_operace_izraele_majority_ci_high,temata_clanku-teroristicke_operace_majority_mean,temata_clanku-teroristicke_operace_majority_ci_low,temata_clanku-teroristicke_operace_majority_ci_high,temata_clanku-dopad_na_izraelske_civilisty_majority_mean,temata_clanku-dopad_na_izraelske_civilisty_majority_ci_low,temata_clanku-dopad_na_izraelske_civilisty_majority_ci_high,temata_clanku-dopad_na_palestinske_civilisty_majority_mean,temata_clanku-dopad_na_palestinske_civilisty_majority_ci_low,temata_clanku-dopad_na_palestinske_civilisty_majority_ci_high,temata_clanku-humanitarni_pomoc_majority_mean,temata_clanku-humanitarni_pomoc_majority_ci_low,temata_clanku-humanitarni_pomoc_majority_ci_high,temata_clanku-globalni_reakce_verejnosti_majority_mean,temata_clanku-globalni_reakce_verejnosti_majority_ci_low,temata_clanku-globalni_reakce_verejnosti_majority_ci_high,temata_clanku-ekonomicke_dusledky_majority_mean,temata_clanku-ekonomicke_dusledky_majority_ci_low,temata_clanku-ekonomicke_dusledky_majority_ci_high,temata_clanku-historie_majority_mean,temata_clanku-historie_majority_ci_low,temata_clanku-historie_majority_ci_high,hlavni_tema_clanku_majority_mean,hlavni_tema_clanku_majority_ci_low,hlavni_tema_clanku_majority_ci_high,medialni_ramce-ramec_konfliktu_majority_mean,medialni_ramce-ramec_konfliktu_majority_ci_low,medialni_ramce-ramec_konfliktu_majority_ci_high,medialni_ramce-ramec_budovani_miru_majority_mean,medialni_ramce-ramec_budovani_miru_majority_ci_low,medialni_ramce-ramec_budovani_miru_majority_ci_high,medialni_ramce-humanitarni_ramec_majority_mean,medialni_ramce-humanitarni_ramec_majority_ci_low,medialni_ramce-humanitarni_ramec_majority_ci_high,medialni_ramce-historicko_kulturni_ramec_majority_mean,medialni_ramce-historicko_kulturni_ramec_majority_ci_low,medialni_ramce-historicko_kulturni_ramec_majority_ci_high,medialni_ramce-geopoliticky_ramec_majority_mean,medialni_ramce-geopoliticky_ramec_majority_ci_low,medialni_ramce-geopoliticky_ramec_majority_ci_high,medialni_ramce-lokalni_ramec_majority_mean,medialni_ramce-lokalni_ramec_majority_ci_low,medialni_ramce-lokalni_ramec_majority_ci_high,mluvci-politicti_predstavitele_izraele_majority_mean,mluvci-politicti_predstavitele_izraele_majority_ci_low,mluvci-politicti_predstavitele_izraele_majority_ci_high,mluvci-politicti_predstavitele_palestiny_majority_mean,mluvci-politicti_predstavitele_palestiny_majority_ci_low,mluvci-politicti_predstavitele_palestiny_majority_ci_high,mluvci-politici_z_blizkovychodnich_zemi_majority_mean,mluvci-politici_z_blizkovychodnich_zemi_majority_ci_low,mluvci-politici_z_blizkovychodnich_zemi_majority_ci_high,mluvci-politici_ze_ostatnich_svetovych_zemi_majority_mean,mluvci-politici_ze_ostatnich_svetovych_zemi_majority_ci_low,mluvci-politici_ze_ostatnich_svetovych_zemi_majority_ci_high,mluvci-predstavitele_mezinarodnich_a_neziskovych_organizaci_majority_mean,mluvci-predstavitele_mezinarodnich_a_neziskovych_organizaci_majority_ci_low,mluvci-predstavitele_mezinarodnich_a_neziskovych_organizaci_majority_ci_high,mluvci-vojensti_predstavitele_izraele_majority_mean,mluvci-vojensti_predstavitele_izraele_majority_ci_low,mluvci-vojensti_predstavitele_izraele_majority_ci_high,mluvci-clenove_teroristickych_skupin_majority_mean,mluvci-clenove_teroristickych_skupin_majority_ci_low,mluvci-clenove_teroristickych_skupin_majority_ci_high,mluvci-nezavisli_experti_a_analytici_majority_mean,mluvci-nezavisli_experti_a_analytici_majority_ci_low,mluvci-nezavisli_experti_a_analytici_majority_ci_high,mluvci-media_a_novinari_majority_mean,mluvci-media_a_novinari_majority_ci_low,mluvci-media_a_novinari_majority_ci_high,mluvci-ociti_svedci_a_civiliste_z_izraele_majority_mean,mluvci-ociti_svedci_a_civiliste_z_izraele_majority_ci_low,mluvci-ociti_svedci_a_civiliste_z_izraele_majority_ci_high,mluvci-ociti_svedci_a_civiliste_z_palestiny_majority_mean,mluvci-ociti_svedci_a_civiliste_z_palestiny_majority_ci_low,mluvci-ociti_svedci_a_civiliste_z_palestiny_majority_ci_high,zpravodajske_hodnoty_majority_mean,zpravodajske_hodnoty_majority_ci_low,zpravodajske_hodnoty_majority_ci_high,temata_clanku_majority_mean,temata_clanku_majority_ci_low,temata_clanku_majority_ci_high,medialni_ramce_majority_mean,medialni_ramce_majority_ci_low,medialni_ramce_majority_ci_high,mluvci_majority_mean,mluvci_majority_ci_low,mluvci_majority_ci_high,overall_majority_mean,overall_majority_ci_low,overall_majority_ci_high
anthropic-claude-haiku-4.5,kveten,false,0.8311,0.76,0.9,0.8304,0.75,0.9,0.7401,0.65,0.82,0.7902,0.71,0.87,0.6808,0.59,0.77,0.7496,0.66,0.83,0.8798,0.81,0.94,0.7991,0.72,0.87,0.7803,0.7,0.86,0.7394,0.65,0.82,0.8795,0.81,0.94,0.9099,0.85,0.96,0.9501,0.9,0.99,0.9501,0.9,0.99,0.6595,0.57,0.75,0.7505,0.66,0.83,0.8802,0.82,0.94,0.9093,0.85,0.96,0.7702,0.68,0.85,0.5985,0.5,0.69,0.8002,0.72,0.88,0.6795,0.59,0.77,0.9393,0.89,0.98,0.9007,0.84,0.95,0.9204,0.86,0.97,0.8799,0.81,0.94,0.8497,0.78,0.92,0.9297,0.88,0.98,0.8704,0.8,0.93,0.9094,0.85,0.96,0.8203,0.74,0.9,0.9399,0.89,0.98,0.9799,0.95,1.0,0.774,0.732,0.814,0.8298,0.804,0.855,0.7735,0.7417,0.805,0.9034,0.8845,0.9218,0.8333,0.8185,0.847
anthropic-claude-haiku-4.5,kveten,true,0.81,0.73,0.88,0.9201,0.86,0.97,0.7303,0.64,0.81,0.8594,0.79,0.92,0.6907,0.6,0.78,0.78,0.69,0.86,0.839,0.76,0.91,0.7906,0.71,0.87,0.6809,0.59,0.77,0.75,0.66,0.83,0.8802,0.8198,0.94,0.8993,0.84,0.95,0.9598,0.92,0.99,0.9498,0.9,0.99,0.6398,0.54,0.73,0.7507,0.66,0.83,0.8599,0.79,0.92,0.8899,0.83,0.95,0.6995,0.61,0.79,0.6006,0.51,0.7,0.8104,0.73,0.88,0.5597,0.46,0.66,0.9298,0.88,0.97,0.8996,0.84,0.95,0.9302,0.88,0.98,0.9495,0.9,0.99,0.86,0.79,0.93,0.9396,0.89,0.98,0.8495,0.77,0.92,0.9396,0.89,0.98,0.6992,0.61,0.79,0.9802,0.95,1.0,0.95,0.9,0.99,0.802,0.768,0.834,0.8171,0.792,0.842,0.7367,0.7017,0.7717,0.9028,0.8864,0.9182,0.8268,0.8145,0.8397
anthropic-claude-haiku-4.5,srpen,false,0.8102,0.73,0.88,0.9202,0.86,0.97,0.849,0.78,0.91,0.7913,0.71,0.87,0.7406,0.65,0.82,0.7495,0.66,0.83,0.82,0.74,0.89,0.779,0.7,0.86,0.751,0.67,0.83,0.79,0.71,0.87,0.9003,0.84,0.96,0.9206,0.87,0.97,0.9701,0.93,1.0,0.9801,0.95,1.0,0.9205,0.86,0.97,0.7098,0.62,0.8,0.8697,0.8,0.93,0.9199,0.86,0.97,0.7299,0.64,0.81,0.8605,0.79,0.92,0.7987,0.72,0.87,0.5904,0.49,0.68,0.8986,0.8384,0.95,0.9492,0.9,0.9899,0.9292,0.8776,0.9796,0.8892,0.8265,0.949,0.8378,0.76,0.9091,0.9393,0.8889,0.98,0.8997,0.8367,0.95,0.9596,0.9184,0.99,0.8288,0.75,0.899,0.9598,0.9184,0.99,0.9801,0.9495,1.0,0.8223,0.788,0.854,0.8579,0.834,0.882,0.7949,0.7617,0.8283,0.9155,0.9,0.9304,0.8558,0.8422,0.8691
anthropic-claude-haiku-4.5,srpen,true,0.8094,0.73,0.88,0.9403,0.89,0.98,0.8202,0.74,0.89,0.8899,0.82,0.95,0.7301,0.64,0.81,0.7597,0.67,0.84,0.8394,0.76,0.91,0.7904,0.71,0.87,0.7204,0.63,0.81,0.7296,0.64,0.81,0.8603,0.79,0.93,0.9113,0.85,0.96,0.96,0.92,0.99,0.9704,0.93,1.0,0.92,0.87,0.97,0.7404,0.65,0.83,0.9203,0.87,0.97,0.9201,0.86,0.97,0.7499,0.66,0.83,0.7314,0.64,0.82,0.7999,0.72,0.88,0.53,0.43,0.63,0.8884,0.82,0.9485,0.8678,0.798,0.93,0.9395,0.8889,0.98,0.9294,0.8776,0.9796,0.8884,0.82,0.949,0.9297,0.8776,0.97,0.8583,0.7857,0.9271,0.9597,0.9192,0.99,0.6149,0.5152,0.71,0.9495,0.9,0.9899,0.9899,0.9694,1.0,0.8378,0.806,0.87,0.8461,0.82,0.871,0.7748,0.7417,0.8083,0.8924,0.875,0.91,0.844,0.8296,0.8578
anthropic-claude-sonnet-4.6,kveten,false,0.8101,0.73,0.88,0.8902,0.83,0.95,0.6608,0.57,0.75,0.8097,0.73,0.88,0.7203,0.63,0.8,0.7896,0.7098,0.86,0.8704,0.8,0.93,0.849,0.78,0.91,0.7297,0.64,0.82,0.7797,0.7,0.86,0.8603,0.79,0.92,0.8894,0.82,0.95,0.9703,0.93,1.0,0.97,0.93,1.0,0.7902,0.71,0.87,0.8595,0.79,0.92,0.9209,0.87,0.97,0.9003,0.84,0.96,0.8402,0.77,0.91,0.9103,0.85,0.96,0.8701,0.8,0.93,0.7606,0.68,0.84,0.95,0.9,0.99,0.9098,0.85,0.96,0.9495,0.9,0.99,0.901,0.84,0.95,0.8988,0.84,0.95,0.9197,0.86,0.97,0.8695,0.8,0.93,0.8902,0.82,0.95,0.8888,0.82,0.95,0.9504,0.9,0.99,0.9604,0.92,0.99,0.7776,0.746,0.81,0.8501,0.828,0.871,0.8665,0.8383,0.8933,0.9171,0.9009,0.9327,0.8648,0.8524,0.8773
anthropic-claude-sonnet-4.6,kveten,true,0.8102,0.73,0.88,0.88,0.81,0.94,0.6796,0.59,0.77,0.8297,0.75,0.9,0.7005,0.61,0.79,0.7793,0.7,0.86,0.9007,0.84,0.95,0.8205,0.74,0.89,0.759,0.67,0.84,0.7512,0.66,0.83,0.8801,0.81,0.94,0.9192,0.86,0.97,0.9705,0.93,1.0,0.9303,0.88,0.98,0.82,0.74,0.89,0.7498,0.66,0.83,0.9205,0.86,0.97,0.8803,0.8198,0.94,0.7399,0.65,0.82,0.8593,0.79,0.92,0.8504,0.78,0.92,0.6492,0.56,0.74,0.9102,0.85,0.96,0.9106,0.85,0.96,0.9799,0.95,1.0,0.9205,0.86,0.97,0.8702,0.8,0.93,0.8898,0.82,0.95,0.7993,0.72,0.87,0.8898,0.82,0.95,0.9002,0.84,0.95,0.9401,0.89,0.98,0.9402,0.89,0.98,0.7795,0.744,0.816,0.853,0.83,0.875,0.8167,0.785,0.8467,0.9045,0.8882,0.92,0.8493,0.837,0.8615
anthropic-claude-sonnet-4.6,srpen,false,0.81,0.73,0.88,0.9301,0.88,0.97,0.8096,0.73,0.88,0.8301,0.75,0.9,0.7605,0.67,0.84,0.8691,0.8,0.93,0.8904,0.83,0.95,0.8303,0.76,0.9,0.7808,0.69,0.86,0.7907,0.71,0.87,0.8804,0.81,0.94,0.9501,0.9,0.99,0.9902,0.97,1.0,0.9699,0.93,1.0,0.95,0.9,0.99,0.8401,0.76,0.91,0.9203,0.86,0.97,0.9098,0.85,0.96,0.9101,0.85,0.96,0.9799,0.95,1.0,0.8888,0.82,0.95,0.7684,0.68,0.85,0.9296,0.88,0.97,0.9195,0.86,0.97,0.9696,0.93,1.0,0.9396,0.89,0.98,0.8597,0.79,0.92,0.9406,0.89,0.98,0.8806,0.81,0.94,0.8701,0.8,0.93,0.8701,0.8,0.93,0.9704,0.93,1.0,0.9899,0.97,1.0,0.8282,0.796,0.86,0.8898,0.872,0.906,0.897,0.8683,0.9233,0.9216,0.9064,0.9364,0.8909,0.8803,0.9018
anthropic-claude-sonnet-4.6,srpen,true,0.8097,0.73,0.88,0.8991,0.84,0.95,0.8294,0.75,0.9,0.8102,0.73,0.88,0.73,0.64,0.81,0.8796,0.81,0.94,0.8696,0.8,0.93,0.8107,0.73,0.88,0.8199,0.74,0.89,0.7409,0.66,0.83,0.8798,0.81,0.94,0.9294,0.88,0.97,0.9899,0.97,1.0,0.9704,0.93,1.0,0.9504,0.9,0.99,0.7911,0.71,0.87,0.9194,0.86,0.97,0.8893,0.82,0.95,0.7392,0.65,0.82,0.8594,0.79,0.92,0.8303,0.75,0.9,0.5587,0.46,0.66,0.9207,0.86,0.97,0.9196,0.86,0.97,0.9504,0.9,0.99,0.9507,0.91,0.99,0.8597,0.79,0.92,0.9097,0.85,0.96,0.8402,0.77,0.91,0.8792,0.81,0.94,0.8902,0.83,0.95,0.9699,0.93,1.0,0.94,0.89,0.98,0.8158,0.778,0.852,0.8841,0.866,0.901,0.8001,0.77,0.8283,0.9119,0.8964,0.9273,0.8648,0.8533,0.8764
deepseek-deepseek-v4-flash,kveten,false,0.8209,0.74,0.89,0.8804,0.81,0.94,0.7994,0.72,0.87,0.8296,0.75,0.9,0.6699,0.58,0.76,0.85,0.78,0.92,0.8299,0.75,0.9,0.7698,0.69,0.85,0.7104,0.62,0.8,0.7699,0.68,0.85,0.8607,0.79,0.92,0.9201,0.86,0.97,0.9399,0.89,0.98,0.9803,0.95,1.0,0.66,0.57,0.75,0.7202,0.63,0.81,0.9099,0.85,0.96,0.9205,0.86,0.97,0.7799,0.7,0.86,0.8301,0.75,0.9,0.8202,0.74,0.89,0.6906,0.6,0.78,0.9592,0.9184,0.99,0.9093,0.85,0.9596,0.96,0.9184,0.99,0.9086,0.8485,0.9596,0.919,0.86,0.9697,0.9598,0.9192,0.99,0.8686,0.798,0.93,0.9088,0.8485,0.96,0.7382,0.6495,0.82,0.9901,0.9694,1.0,0.9699,0.9293,1.0,0.7996,0.768,0.832,0.829,0.801,0.856,0.8253,0.795,0.8567,0.9175,0.9027,0.9318,0.8499,0.837,0.8628
deepseek-deepseek-v4-flash,kveten,true,0.8501,0.78,0.9102,0.8799,0.82,0.94,0.7994,0.72,0.88,0.8103,0.73,0.88,0.7103,0.62,0.8,0.8591,0.79,0.92,0.89,0.83,0.95,0.8108,0.73,0.88,0.6991,0.61,0.79,0.7397,0.65,0.82,0.9007,0.84,0.96,0.9404,0.89,0.98,0.9304,0.88,0.98,0.9798,0.95,1.0,0.7402,0.65,0.82,0.7804,0.7,0.86,0.8999,0.84,0.95,0.9103,0.85,0.96,0.841,0.77,0.91,0.889,0.82,0.95,0.7696,0.69,0.85,0.5991,0.5,0.69,0.9494,0.899,0.9899,0.9095,0.8485,0.96,0.9497,0.9,0.9899,0.9598,0.9192,0.99,0.9099,0.85,0.9596,0.9491,0.9,0.9899,0.8486,0.7755,0.9175,0.939,0.8889,0.98,0.5967,0.5,0.6939,0.9696,0.93,1.0,0.9702,0.93,1.0,0.8097,0.774,0.846,0.8488,0.825,0.872,0.8185,0.7883,0.8467,0.9045,0.888,0.9209,0.8541,0.8421,0.8664
